"PLOT","INVYR","Common.Name","DEAD","ELEV","LON","LAT"
88372,2002,"Douglas-fir",1,8930,-109.333241,33.609356
88372,2012,"Douglas-fir",22,8930,-109.333241,33.609356
88386,2010,"Douglas-fir",0,7510,-111.051593,34.476763
88386,2020,"Douglas-fir",0,7510,-111.051593,34.476763
88463,2002,"Douglas-fir",0,8610,-109.165095,33.969317
88463,2012,"Douglas-fir",13,8610,-109.165095,33.969317
88525,2007,"Douglas-fir",0,9620,-109.928557,32.714262
88525,2017,"Douglas-fir",1,9620,-109.928557,32.714262
88579,2008,"Douglas-fir",1,10340,-109.118525,33.928597
88579,2018,"Douglas-fir",1,10340,-109.118525,33.928597
88608,2010,"Douglas-fir",1,7300,-111.049292,34.344777
88608,2020,"Douglas-fir",1,7300,-111.049292,34.344777
88629,2008,"Douglas-fir",1,9220,-109.559758,33.99601
88629,2018,"Douglas-fir",2,9220,-109.559758,33.99601
88735,2010,"Douglas-fir",3,7050,-110.786554,34.296124
88735,2020,"Douglas-fir",2,7050,-110.786554,34.296124
88867,2007,"Douglas-fir",0,7930,-112.229322,36.278137
88867,2017,"Douglas-fir",0,7930,-112.229322,36.278137
88932,2004,"Douglas-fir",0,8610,-109.375736,33.834079
88932,2014,"Douglas-fir",5,8610,-109.375736,33.834079
88977,2016,"Douglas-fir",4,6050,-110.310923,34.133393
88985,2003,"Douglas-fir",1,6950,-109.254055,31.894277
88985,2013,"Douglas-fir",1,6950,-109.254055,31.894277
89097,2002,"Douglas-fir",1,6040,-110.994786,33.845523
89097,2012,"Douglas-fir",2,6040,-110.994786,33.845523
89153,2006,"Douglas-fir",0,8510,-109.492091,33.792418
89153,2016,"Douglas-fir",0,8510,-109.492091,33.792418
89209,2002,"Douglas-fir",0,6570,-110.257356,32.49528
89209,2012,"Douglas-fir",0,6570,-110.257356,32.49528
89214,2009,"Douglas-fir",1,9080,-112.175331,36.41402
89214,2019,"Douglas-fir",1,9080,-112.175331,36.41402
89252,2009,"Douglas-fir",10,9720,-109.881188,32.710644
89252,2019,"Douglas-fir",9,9720,-109.881188,32.710644
89272,2004,"Douglas-fir",0,6560,-109.361533,31.854578
89272,2009,"Douglas-fir",0,6560,-109.361533,31.854578
89272,2019,"Douglas-fir",1,6560,-109.361533,31.854578
89273,2005,"Douglas-fir",0,8170,-112.12218,36.545191
89273,2015,"Douglas-fir",0,8170,-112.12218,36.545191
89318,2003,"Douglas-fir",2,7510,-111.256407,34.449612
89318,2013,"Douglas-fir",2,7510,-111.256407,34.449612
89351,2004,"Douglas-fir",0,6340,-109.552027,33.620924
89351,2014,"Douglas-fir",1,6340,-109.552027,33.620924
89413,2002,"Douglas-fir",6,5850,-110.7187,37.001886
89413,2012,"Douglas-fir",4,5850,-110.7187,37.001886
89508,2011,"Douglas-fir",1,7810,-109.306071,31.897079
89508,2021,"Douglas-fir",1,7810,-109.306071,31.897079
89537,2008,"Douglas-fir",1,8620,-109.154517,33.783556
89537,2018,"Douglas-fir",5,8620,-109.154517,33.783556
89783,2009,"Douglas-fir",0,6780,-112.35898,34.245242
89783,2019,"Douglas-fir",11,6780,-112.35898,34.245242
89914,2003,"Douglas-fir",0,6610,-109.859226,33.933408
89914,2013,"Douglas-fir",0,6610,-109.859226,33.933408
90036,2002,"Douglas-fir",2,9130,-109.435013,33.968815
90036,2012,"Douglas-fir",12,9130,-109.435013,33.968815
90050,2009,"Douglas-fir",1,7550,-110.757744,32.418625
90050,2019,"Douglas-fir",5,7550,-110.757744,32.418625
90094,2007,"Douglas-fir",2,7180,-112.419881,34.424451
90094,2017,"Douglas-fir",2,7180,-112.419881,34.424451
90175,2010,"Douglas-fir",0,7320,-111.877339,35.467748
90175,2020,"Douglas-fir",0,7320,-111.877339,35.467748
90216,2009,"Douglas-fir",0,7620,-112.284549,36.720681
90216,2019,"Douglas-fir",0,7620,-112.284549,36.720681
90288,2009,"Douglas-fir",0,7690,-112.342505,36.410765
90288,2019,"Douglas-fir",0,7690,-112.342505,36.410765
90299,2003,"Douglas-fir",0,7930,-109.227128,35.866537
90299,2013,"Douglas-fir",0,7930,-109.227128,35.866537
90314,2001,"Douglas-fir",0,7480,-111.006848,34.430143
90314,2011,"Douglas-fir",1,7480,-111.006848,34.430143
90314,2021,"Douglas-fir",3,7480,-111.006848,34.430143
90353,2001,"Douglas-fir",0,7990,-109.322505,34.061693
90353,2011,"Douglas-fir",4,7990,-109.322505,34.061693
90353,2021,"Douglas-fir",1,7990,-109.322505,34.061693
90379,2006,"Douglas-fir",3,5990,-110.346015,33.980634
90379,2016,"Douglas-fir",4,5990,-110.346015,33.980634
90381,2004,"Douglas-fir",5,8850,-109.829134,32.62397
90381,2014,"Douglas-fir",10,8850,-109.829134,32.62397
90454,2006,"Douglas-fir",0,7600,-109.494174,33.610248
90454,2016,"Douglas-fir",0,7600,-109.494174,33.610248
90466,2010,"Douglas-fir",7,6980,-111.492491,34.026513
90466,2020,"Douglas-fir",7,6980,-111.492491,34.026513
90509,2009,"Douglas-fir",0,8460,-109.708259,34.116631
